"Collector","EndpointCount","WritePathCount","NoSdkPathCount","ReadWriteTier"
"Get-AccessReviewData.ps1","2","2","0","Write-capable"
"Get-AdminRoleData.ps1","1","0","0","Read-or-report-only"
"Get-AppDeployments.ps1","7","2","5","Write-capable"
"Get-AppSignInData.ps1","1","0","0","Read-or-report-only"
"Get-ASRAuditEvents.ps1","0","0","0","Read-or-report-only"
"Get-ASRRules.ps1","5","5","0","Write-capable"
"Get-AuditLogData.ps1","0","0","0","Read-or-report-only"
"Get-AutopilotData.ps1","2","2","0","Write-capable"
"Get-BitLockerStatus.ps1","3","2","0","Write-capable"
"Get-CompliancePolicies.ps1","5","5","0","Write-capable"
"Get-ConditionalAccessData.ps1","0","0","0","Read-or-report-only"
"Get-ConfigurationProfiles.ps1","11","8","1","Write-capable"
"Get-DefenderData.ps1","2","2","0","Write-capable"
"Get-DefenderDeviceHealth.ps1","0","0","0","Read-or-report-only"
"Get-DeletedUsers.ps1","1","0","0","Read-or-report-only"
"Get-DeviceData.ps1","3","3","0","Write-capable"
"Get-DeviceHardening.ps1","0","0","0","Read-or-report-only"
"Get-eDiscoveryData.ps1","3","3","0","Write-capable"
"Get-EndpointAnalytics.ps1","8","8","0","Write-capable"
"Get-EndpointSecurityStates.ps1","2","2","0","Write-capable"
"Get-EnterpriseAppData.ps1","2","2","0","Write-capable"
"Get-GroupData.ps1","3","1","0","Limited-write"
"Get-GuestData.ps1","1","0","0","Read-or-report-only"
"Get-IdentityRiskData.ps1","2","2","0","Write-capable"
"Get-LapsCoverage.ps1","2","1","1","Limited-write"
"Get-LicenseData.ps1","0","0","0","Read-or-report-only"
"Get-MFAData.ps1","1","1","0","Limited-write"
"Get-NamedLocations.ps1","0","0","0","Read-or-report-only"
"Get-OAuthConsentGrants.ps1","3","2","1","Write-capable"
"Get-PIMData.ps1","0","0","0","Read-or-report-only"
"Get-RetentionData.ps1","2","2","0","Write-capable"
"Get-SecureScoreData.ps1","1","1","0","Limited-write"
"Get-SensitivityLabelsData.ps1","2","1","1","Limited-write"
"Get-ServiceAnnouncementData.ps1","2","2","0","Write-capable"
"Get-ServicePrincipalSecrets.ps1","1","1","0","Limited-write"
"Get-SharePointData.ps1","2","0","1","Read-or-report-only"
"Get-SignInData.ps1","0","0","0","Read-or-report-only"
"Get-SignInLogs.ps1","1","0","0","Read-or-report-only"
"Get-TeamsData.ps1","7","3","2","Write-capable"
"Get-UserData.ps1","1","1","0","Limited-write"
"Get-VulnerabilityData.ps1","3","1","2","Limited-write"
"Get-WindowsUpdateStatus.ps1","13","9","4","Write-capable"
